HSC,CMP,GMP,B,Mono,MEP,EryA,NK,CD8,CD4,Gran
Cd300lf,12,16,2,16,89,13,12,9,3,3,1746
Cd300lg,6,12,13,0,231,15,4,0,1,0,121
Cd300lh,0,0,0,0,0,0,0,0,0,0,1
Cd302,54,87,86,31,507,26,23,20,34,26,479
Cd320,65,176,174,10,0,184,2,8,44,14,74
Cd33,11,32,10,1,36,3,4,1,0,0,1542
Cd34,154,1248,987,8,69,104,1,13,29,12,41
Cd36,0,9,1,77,36,38,259,100,2,1,110
Cd37,419,413,417,773,183,248,155,214,399,446,1724
Cd38,18,7,0,212,1,1,13,15,14,24,395
Cd3d,1,1,1,7,0,0,5,18,1142,773,365
Cd3e,0,0,0,6,1,0,1,4,534,431,101
Cd3eap,596,767,903,52,182,1291,19,57,253,88,577
Cd3g,6,3,0,12,0,5,0,8,851,626,94
Cd4,18,15,2,2,1,9,2,7,13,545,272
Cd40,11,15,5,275,277,4,19,9,6,3,560
Cd40lg,0,0,0,0,0,0,0,0,1,5,0
Cd44,241,939,865,104,997,989,32,192,163,181,3866
Cd46,4,4,2,1,1,1,3,1,1,2,7
Cd47,917,1829,1841,366,1110,1720,876,480,877,597,2478
Cd48,46,438,359,192,311,116,1,177,398,265,145
Cd5,3,7,5,6,0,0,4,8,539,717,124
Cd52,226,642,591,672,1115,133,203,503,1215,1061,2523
Cd53,15,372,390,404,419,49,8,223,549,611,1150
Cd55,34,36,4,392,2,158,58,14,111,78,402
Cd55b,0,0,0,0,0,0,0,0,0,0,0
Cd59a,178,85,46,6,18,284,287,0,1,1,89
Cd59b,0,2,2,0,0,6,11,0,0,0,1
Cd5l,21,3,0,0,1,1,54,6,0,1,523
Cd6,2,13,8,6,0,1,0,6,509,549,186
Cd63,255,410,768,1,13,187,10,0,5,1,1968
Cd68,57,232,211,19,663,53,40,115,14,6,882
Cd69,20,143,158,46,24,7,0,16,144,95,33
Cd7,1,0,1,7,1,29,6,223,407,92,453
Cd70,0,0,0,0,0,0,0,0,0,3,25
Cd72,1,3,6,48,0,3,4,8,15,1,68
Cd74,481,384,285,1007,1261,414,540,155,213,398,1871
Cd79a,169,7,6,797,2,14,188,5,31,32,498
Cd79b,177,340,391,857,104,51,284,18,162,77,772
Cd80,0,2,0,4,7,1,3,0,0,3,161
Cd81,478,502,424,206,33,834,213,12,14,113,1105
Cd82,396,237,238,269,165,810,645,299,535,555,1658
Cd83,3,4,3,194,18,6,22,22,25,71,493
Cd84,222,239,143,251,368,124,12,161,409,505,2112
Cd86,3,4,4,31,46,1,5,5,26,8,324
Cd8a,0,3,0,13,0,2,2,13,1897,27,643
Cd8b1,19,3,1,12,0,6,0,15,1907,102,350
Cd9,350,267,236,38,30,141,12,200,83,119,1817
Cd93,264,1645,1414,40,254,72,8,11,34,18,219
Cd96,16,44,27,6,2,6,1,60,361,211,7
Cd99l2,72,115,93,6,48,294,91,5,40,60,132
Cda,0,0,0,0,0,20,1,0,0,0,0
Cdadc1,86,246,314,44,106,334,66,35,100,50,552
Cdan1,92,260,231,15,76,352,216,34,77,52,292
Cdc123,313,659,675,119,197,853,359,76,241,140,700
Cdc14a,149,136,110,29,48,94,24,7,42,19,568
Cdc14b,22,24,38,21,49,52,9,64,163,71,201
Cdc16,120,346,328,68,100,414,70,36,110,96,346
Cdc20,56,307,277,7,37,485,345,3,22,9,269
Cdc20b,1,0,0,0,0,0,0,13,0,0,0
Cdc23,8,24,21,1,4,14,4,0,3,3,21
Cdc25a,351,929,935,34,70,1315,310,19,111,84,698
Cdc25b,146,144,65,98,20,79,562,33,160,141,732
Cdc25c,71,126,92,0,3,171,296,0,6,1,93
Cdc26,47,168,175,29,43,219,81,18,61,30,401
Cdc27,106,285,236,49,47,319,141,19,75,70,300
Cdc34,559,698,805,215,335,1166,518,121,325,244,1603
Cdc37,607,884,901,228,361,1147,293,132,419,308,1047
Cdc37l1,215,429,406,179,108,541,177,73,273,181,1127
Cdc40,122,318,307,71,162,303,57,49,146,85,641
Cdc42,539,1539,1528,472,1332,1381,403,501,972,700,3560
Cdc42bpa,70,59,28,1,0,214,165,0,0,2,11
Cdc42bpb,47,19,20,11,145,16,10,20,2,3,257
Cdc42bpg,36,80,86,14,10,124,6,18,34,10,128
Cdc42ep1,0,0,0,0,0,0,0,12,0,2,2
Cdc42ep2,0,7,1,2,78,10,25,20,0,1,763
Cdc42ep3,439,555,535,58,510,668,657,173,223,117,2098
Cdc42ep4,176,207,314,11,245,311,281,24,7,4,454
Cdc42ep5,26,2,2,0,0,4,0,0,0,0,3
Cdc42se1,376,574,599,327,609,716,173,242,718,491,3343
Cdc42se2,112,340,293,139,256,226,41,80,328,282,928
Cdc45,85,293,312,10,24,386,215,2,11,6,221
Cdc5l,392,795,762,217,354,1015,423,98,318,287,1255
Cdc6,114,416,438,8,25,1013,497,4,12,5,152
Cdc7,15,167,146,10,11,188,48,3,36,12,145
Cdc73,83,171,213,40,47,287,39,25,88,70,270
Cdca2,116,322,208,3,19,254,379,4,24,7,295
Cdca3,204,638,594,15,77,1054,1296,4,36,20,687
Cdca4,167,531,466,65,95,620,447,55,221,140,457
Cdca5,104,319,282,1,20,383,255,2,8,1,170
Cdca7,227,860,831,28,27,758,38,1,34,42,390
Cdca7l,58,155,117,5,11,117,4,7,11,13,65
Cdca8,147,533,478,7,66,790,824,4,29,13,562
Cdcp1,1,0,1,0,0,1,0,0,0,2,53
Cdcp2,0,0,0,0,0,0,0,0,0,0,0
Cdh1,0,4,25,0,0,0,0,1,8,1,57
Cdh10,0,0,0,0,0,0,0,0,0,0,0
Cdh11,1,4,2,0,1,5,0,0,4,1,2
Cdh12,0,0,0,0,0,0,0,0,0,0,0
Cdh13,0,0,0,0,0,0,0,0,1,4,0
Cdh15,5,1,0,0,0,0,0,0,0,0,0
Cdh16,0,0,0,0,0,2,0,0,0,0,0
Cdh17,0,0,0,19,0,1,2,0,1,1,62
Cdh18,0,0,0,0,0,0,0,0,0,0,0
Cdh19,0,0,0,0,0,0,0,0,0,0,0
Cdh2,6,1,0,0,0,1,0,0,0,0,21
Cdh20,0,0,0,0,0,0,0,0,0,0,0
Cdh22,0,0,0,0,0,0,0,42,0,1,60
Cdh23,37,3,3,0,3,2,1,1,9,11,186
Cdh24,0,0,6,0,0,2,1,0,7,1,3
Cdh26,0,0,0,0,0,0,0,0,0,0,0
Cdh3,4,1,2,0,0,0,0,1,0,0,2
Cdh4,2,4,5,0,1,1,0,0,3,0,0
Cdh5,0,0,0,3,0,0,0,0,0,0,69
Cdh6,23,4,2,1,8,5,7,2,1,0,17
Cdh7,0,1,0,0,0,0,0,0,0,0,0
Cdh8,0,0,0,0,0,0,0,0,0,0,0
Cdh9,0,0,0,0,0,0,0,0,0,0,0
Cdhr1,0,0,0,0,0,1,0,0,1,0,26
Cdhr2,0,0,0,0,0,0,0,0,0,0,0
Cdhr3,0,0,0,0,0,0,0,0,0,0,99
Cdhr5,0,0,0,0,0,0,0,0,0,0,1
Cdip1,163,278,243,84,122,177,29,37,158,112,601
Cdipt,243,468,470,117,282,473,164,102,416,385,1297
Cdk1,140,551,369,7,48,674,695,1,6,3,418
Cdk10,274,254,222,79,76,282,16,34,105,65,533
Cdk11b,317,423,353,159,259,654,272,99,324,238,3259
Cdk12,228,273,228,89,103,389,178,28,130,128,705
Cdk13,254,414,352,192,233,504,160,97,294,240,840
Cdk14,27,12,8,3,59,8,5,27,0,4,463
Cdk15,0,0,0,0,0,0,0,0,0,0,0
Cdk16,439,410,382,108,183,549,384,68,186,183,779
Cdk17,108,140,103,46,46,219,66,34,150,81,626
Cdk18,188,66,74,0,0,13,0,5,0,0,51
Cdk19,124,417,323,109,147,185,102,55,180,138,908
Cdk2,192,445,407,61,90,445,181,15,62,69,396
Cdk20,46,52,33,16,15,107,15,0,15,10,100
Cdk2ap1,535,968,926,180,383,1032,303,230,339,266,740
Cdk2ap2,241,441,543,128,661,455,369,174,425,324,2029
Cdk3-ps,0,7,1,6,6,5,1,0,6,3,6
Cdk4,766,1189,1120,167,318,1321,229,137,467,274,504
Cdk5,214,239,250,152,113,317,37,65,176,182,709
Cdk5r1,25,91,180,32,12,34,19,4,16,41,866
Cdk5r2,0,0,0,0,0,0,0,0,0,0,0
Cdk5rap1,47,77,100,17,20,142,69,4,52,38,146
Cdk5rap2,126,211,169,105,24,228,338,29,110,71,328
Cdk5rap3,196,395,429,74,127,299,53,66,155,133,451
Cdk6,2405,4296,3936,147,303,3466,29,96,343,136,1205
Cdk7,166,382,462,109,129,614,73,46,176,160,885
Cdk8,80,265,270,67,88,350,218,19,91,89,332
Cdk9,132,389,397,118,269,506,138,78,153,102,1233
Cdkal1,34,87,52,22,14,62,4,8,39,37,94
Cdkl1,0,0,0,8,0,15,131,0,0,0,9
Cdkl2,0,0,1,0,5,1,0,0,0,0,10
Cdkl3,8,10,8,8,2,30,2,2,6,4,77
Cdkl4,10,1,0,0,2,13,0,0,3,3,27
Cdkl5,0,0,0,0,2,1,0,1,0,2,4
Cdkn1a,40,450,328,4,333,121,51,37,24,10,524
Cdkn1b,174,195,157,130,156,213,567,112,270,232,1605
Cdkn1c,81,11,8,0,7,4,1,4,0,2,18
Cdkn2a,0,0,0,3,0,0,0,0,4,0,7
Cdkn2aip,46,95,80,35,21,132,33,17,51,41,195
Cdkn2aipnl,251,491,519,87,117,781,250,66,235,159,952
Cdkn2b,0,0,0,0,0,0,0,0,0,0,130
Cdkn2c,24,102,79,2,17,140,448,9,16,15,184
Cdkn2d,123,185,117,82,234,111,670,108,261,161,1624
Cdkn3,35,103,106,8,7,113,441,0,8,5,215
Cdnf,7,8,2,0,4,17,0,1,8,3,22
Cdo1,8,5,9,1,3,6,1,0,7,10,16
Cdon,0,7,1,7,0,1,1,0,45,40,200
Cdpf1,150,243,200,45,52,425,96,40,150,51,175
Cdr1,0,0,0,0,0,0,0,0,0,0,0
Cdr2,13,26,42,1,12,333,559,0,16,10,154
Cdr2l,15,2,5,0,1,4,0,0,12,1,11
Cdrt4,0,0,0,0,0,0,0,0,0,0,0
Cdrt4os1,0,0,0,0,0,0,0,0,0,0,0
Cds1,8,182,166,0,109,9,0,1,2,1,157
Cds2,231,309,264,170,309,287,55,115,408,344,1997
Cdsn,1,0,0,0,0,0,0,0,0,0,0
Cdt1,180,718,736,56,93,894,360,46,149,65,287
Cdv3,617,901,952,193,305,1417,485,91,353,223,1497
Cdx1,0,0,0,0,0,0,0,0,0,0,1
Cdx2,0,0,0,0,0,0,0,0,0,0,0
Cdx4,0,0,0,0,0,0,0,0,0,0,0
Cdyl,76,115,117,39,56,274,232,42,55,32,560
Cdyl2,56,169,152,65,47,113,7,43,134,103,512
Ceacam-ps1,0,0,0,0,0,0,0,0,0,0,0
Ceacam1,41,69,72,65,283,19,11,63,3,5,873
Ceacam10,12,2,0,0,0,6,1,0,0,0,1274
Ceacam11,0,0,0,0,0,0,0,0,0,0,0
Ceacam12,0,0,0,0,0,0,0,0,0,0,0
Ceacam13,0,0,0,0,0,0,0,0,0,0,0
Ceacam14,0,0,0,0,0,0,0,0,0,0,0
Ceacam15,0,0,0,0,0,0,0,0,0,0,12
Ceacam16,0,1,0,37,0,0,1,0,0,2,114
Ceacam18,5,0,1,0,4,0,0,0,0,0,186
Ceacam19,8,12,6,5,37,8,3,1,2,0,37
Ceacam2,0,2,1,1,0,2,0,1,0,0,7
Ceacam20,1,0,0,0,0,0,0,0,0,0,0
Ceacam3,0,0,0,0,0,0,0,0,0,0,0
Ceacam5,0,0,0,0,0,0,0,0,0,0,0
Ceacam9,0,0,0,0,0,0,0,0,0,0,0
Cebpa,44,595,721,1,307,50,6,7,5,21,566
Cebpb,108,297,473,22,703,183,48,208,33,36,1967
Cebpd,46,312,517,1,389,160,16,15,1,3,1984
Cebpe,37,114,482,0,28,41,3,0,0,0,1783
Cebpg,271,475,483,119,347,567,432,72,158,96,1143
Cebpz,547,811,666,150,279,1063,62,60,307,150,740
Cebpzos,68,84,93,29,18,136,19,15,37,28,262
Cecr2,5,6,3,37,0,55,71,0,0,0,59
Cecr5,5,50,46,10,37,101,26,54,129,69,68
Cecr6,0,6,1,0,1,0,0,5,1,1,22
Cel,0,2,0,0,0,0,1,0,0,0,0
Cela1,124,128,90,0,9,750,205,14,9,10,275
Cela2a,0,0,0,2,0,0,0,0,0,0,0
Cela3a,0,0,0,0,0,0,0,0,0,0,0
Cela3b,0,0,0,0,0,0,0,0,0,0,0
Celf1,446,866,750,295,410,1485,722,222,657,599,1701
Celf2,683,1864,1809,499,866,460,38,341,970,735,3957
Celf3,4,1,2,1,5,8,2,4,6,5,13
Celf4,16,8,6,3,85,4,3,0,5,2,358
Celf5,22,7,3,0,0,6,4,0,5,0,6
Celf6,0,1,0,0,0,0,0,0,0,0,0
Celrr,0,0,0,0,0,0,0,0,0,0,0
Celsr1,20,99,158,2,3,72,1,3,129,73,48
Celsr2,23,25,12,3,2,30,0,0,13,27,15
Celsr3,22,15,83,0,54,0,1,4,3,1,508
Cemip,0,0,0,0,0,0,0,0,0,0,0
Cend1,1,0,0,0,0,0,0,0,0,0,5
Cenpa,386,833,822,86,172,1772,1037,36,167,141,1040
Cenpb,591,571,509,210,264,395,242,55,168,147,685
Cenpc1,113,195,173,49,34,254,259,16,91,72,200
Cenpe,305,460,290,17,40,657,1133,6,23,14,506
Cenpf,237,493,280,7,34,494,2530,2,13,3,652
Cenph,147,572,438,13,15,768,441,3,11,2,171
Cenpi,10,105,73,6,3,153,58,1,9,0,17
Cenpj,54,124,103,14,27,83,44,9,54,57,174
Cenpk,17,117,90,4,15,231,94,5,9,1,28
Cenpl,48,99,50,8,23,171,267,6,16,19,302
Cenpm,155,395,301,12,12,418,342,0,13,4,263
Cenpn,88,314,197,6,10,470,263,0,10,15,175
Cenpo,59,151,101,11,19,209,21,9,30,11,155
Cenpp,19,141,117,3,8,245,226,3,6,3,57
Cenpq,59,124,95,62,14,200,74,30,57,38,61
Cenpt,186,167,182,34,21,296,180,12,64,36,189
Cenpu,48,65,57,12,6,116,80,3,5,5,44
Cenpv,112,264,226,13,23,799,172,11,83,16,212
Cenpw,100,280,345,5,22,502,270,5,26,15,145
Cep104,32,65,60,13,12,114,75,4,12,16,113
Cep112,4,9,5,0,0,1,0,0,0,1,8
Cep120,87,147,105,59,71,150,60,34,117,69,535
Cep126,17,8,3,0,0,0,0,0,1,0,5
Cep128,57,153,139,13,13,214,122,3,14,18,170
Cep131,72,90,89,8,12,50,2,2,6,8,148
Cep135,120,134,96,50,49,176,220,17,60,56,312
Cep152,25,110,104,18,18,144,115,22,39,20,178
Cep162,48,105,68,18,28,110,58,7,53,21,195
Cep164,40,159,206,33,42,161,99,12,96,72,410
Cep170,82,104,115,48,138,124,34,25,30,23,491
Cep170b,18,31,13,6,0,11,1,0,19,12,37
Cep19,44,122,115,9,24,95,10,4,69,36,966
Cep192,115,298,233,59,99,290,111,46,121,83,267
Cep250,291,452,378,98,189,491,107,107,281,141,819
Cep290,47,179,149,20,40,357,106,3,19,13,115
Cep295,47,220,217,57,61,294,145,21,115,72,288
Cep350,167,473,507,94,228,357,202,90,230,140,971
Cep41,53,87,53,6,8,138,23,6,20,24,83
Cep44,34,119,101,13,29,173,77,19,24,17,123
Cep55,20,122,90,0,9,21,0,2,3,1,138
Cep57,139,402,308,141,72,694,409,50,134,105,405
Cep57l1,68,181,127,14,12,169,62,10,30,33,123
Cep63,35,132,134,68,59,153,50,11,60,39,451
Cep68,126,246,199,61,18,177,8,10,84,53,137
Cep70,63,92,51,6,28,213,90,8,18,11,198
Cep72,29,147,95,30,6,126,114,6,17,16,101
Cep76,33,72,79,14,9,312,473,2,16,12,53
Cep78,29,154,131,9,44,285,43,1,14,15,80
Cep83,376,720,633,98,143,725,205,30,113,79,813
Cep83os,51,72,95,7,10,114,21,3,35,26,112
Cep85,123,187,188,28,41,304,322,35,123,61,240
Cep85l,11,20,20,2,8,11,0,0,3,1,93
Cep89,56,125,126,100,10,162,259,2,27,14,175
Cep95,39,121,98,28,34,201,135,18,66,74,282
Cep97,188,260,211,58,22,254,69,31,242,186,174
Cept1,29,101,130,85,123,116,4,42,86,98,379
Cer1,0,0,0,0,0,0,0,0,0,1,3
Cercam,84,134,150,2,11,260,135,18,16,1,138
Cerk,140,339,497,303,186,81,41,91,141,75,794
Cerkl,3,9,6,3,10,13,4,4,14,4,59
Cers1,0,0,0,0,0,0,0,0,0,0,0
Cers2,380,535,535,159,313,662,146,137,275,207,973
Cers3,1,0,0,0,0,0,0,0,0,1,1
Cers4,300,182,79,114,15,60,5,83,133,145,176
Cers5,110,239,211,63,147,32,8,49,140,111,555
Cers6,0,21,30,0,58,1,0,3,3,4,178
Ces1a,0,0,0,0,0,0,0,0,0,0,0
Ces1b,0,0,0,0,0,0,0,0,0,0,0
Ces1c,0,0,0,0,0,0,0,0,0,0,0
Ces1d,5,0,6,0,0,0,0,0,0,0,155
Ces1e,0,0,0,0,0,0,0,0,0,0,0
Ces1f,1,0,0,0,0,0,0,0,0,0,0
Ces1g,4,0,0,0,0,1,0,1,1,1,1
Ces2a,0,0,0,0,0,0,0,0,0,0,0
Ces2b,0,0,0,0,0,0,0,0,0,0,0
Ces2c,0,0,0,0,0,0,0,0,0,0,0
Ces2d-ps,0,0,0,0,0,0,0,0,0,0,0
Ces2e,0,0,0,0,0,0,0,0,0,0,4
Ces2f,0,0,0,0,0,0,0,0,0,0,0
Ces2g,371,90,47,1,28,1722,693,0,0,0,62
Ces2h,0,0,0,0,0,0,0,0,0,0,0
Ces3a,0,0,0,0,0,0,0,0,0,0,0
Ces3b,0,0,0,0,0,0,0,0,0,0,0
Ces4a,0,0,0,0,0,0,0,0,0,0,0
Ces5a,0,0,0,0,0,1,0,1,0,0,0
Cetn1,1,0,0,0,0,0,0,0,0,0,0
Cetn2,66,191,175,50,52,213,30,45,127,70,164
Cetn3,155,367,363,73,76,555,229,29,78,69,451
Cetn4,3,15,6,0,2,67,34,0,1,0,23
Cfap100,0,3,0,0,3,4,0,2,0,0,15
Cfap126,4,39,20,8,21,65,5,9,0,11,87
Cfap157,0,0,0,0,0,0,0,0,0,0,0
Cfap161,0,0,0,0,0,0,0,0,0,0,1
Cfap20,136,361,357,41,73,457,77,15,73,66,195
Cfap206,0,0,0,0,0,0,0,0,0,0,0
Cfap221,0,0,0,0,0,0,0,0,0,1,0
Cfap36,119,164,162,32,43,212,117,18,42,43,341
Cfap43,6,32,8,0,14,17,0,7,2,0,14
Cfap44,0,0,0,0,0,0,0,0,0,0,0
Cfap45,0,1,0,1,0,3,0,0,0,0,7
Cfap46,1,0,0,1,0,0,1,1,0,0,9
Cfap52,0,0,0,0,0,0,0,0,0,0,0
Cfap53,0,0,0,0,0,0,0,0,0,0,1
Cfap57,1,1,15,0,0,1,1,0,0,0,21
Cfap58,2,0,0,0,0,2,0,0,0,0,0
Cfap61,0,0,0,0,0,0,0,0,0,0,0
Cfap69,4,0,0,0,0,0,0,0,0,0,0
Cfap70,0,0,0,0,0,0,0,0,0,0,0
Cfap73,0,0,0,0,0,0,0,0,0,0,0
Cfap74,0,0,0,0,0,0,0,1,0,2,13
Cfap77,0,0,0,0,0,0,0,0,0,0,0
Cfap97,125,245,182,43,58,279,28,34,83,83,297
Cfb,1,11,9,1,297,6,5,2,4,0,331
Cfc1,0,1,2,0,0,0,0,0,0,0,0
Cfd,0,2,18,0,0,0,0,0,0,0,1
Cfdp1,294,574,547,72,119,963,179,47,167,101,559
Cfh,0,4,5,0,94,5,0,6,1,0,2
Cfhr1,0,0,0,0,0,0,0,0,0,0,1
Cfhr2,0,0,0,0,0,0,0,0,0,0,0
Cfi,0,0,0,0,0,0,0,0,0,0,0
Cfl1,1259,1852,1902,635,1408,1840,745,626,1444,1175,2419
Cfl2,53,139,114,45,78,120,42,29,64,82,243
Cflar,210,399,452,128,247,157,52,127,346,309,1596
Cfp,136,435,498,116,423,104,161,18,34,35,1896
Cftr,4,0,0,0,0,0,0,0,0,0,0
Cga,0,0,0,0,0,0,0,0,0,0,0
Cggbp1,281,627,561,153,229,516,182,93,239,167,1443
Cgn,4,0,6,0,0,6,6,0,1,0,0
Cgnl1,0,0,0,0,11,0,0,0,0,0,14
Cgref1,0,0,1,0,1,1,0,0,0,0,20
Cgrrf1,65,124,121,41,53,189,189,33,28,24,447
Ch25h,0,0,0,0,0,0,0,0,0,0,1
Chac1,0,3,13,2,1,2,3,0,0,0,141
Chac2,35,37,27,7,9,94,426,1,3,10,156
Chad,2,2,0,0,0,3,0,1,0,2,3
Chadl,0,6,3,0,5,1,0,0,0,3,4
Chaf1a,137,422,445,11,32,599,263,1,15,2,343
Chaf1b,393,496,479,29,25,682,274,11,76,43,294
Champ1,99,311,351,32,59,415,9,32,72,48,233
Chat,0,0,0,0,0,0,1,0,0,0,0
Chchd1,190,506,521,100,113,661,176,48,190,138,458
Chchd10,273,283,372,387,42,860,463,9,140,186,397
Chchd2,814,1040,1087,347,714,1147,529,273,756,562,1505
Chchd3,387,669,754,130,198,1206,288,56,349,205,523
Chchd4,175,513,491,34,68,563,23,18,58,35,308
Chchd5,65,200,193,32,66,200,48,16,86,46,334
Chchd6,247,296,217,5,13,284,6,3,20,10,135
Chchd7,284,353,430,65,129,499,238,37,154,80,381
Chd1,246,429,324,92,101,526,133,54,152,145,1081
Chd1l,154,223,251,38,42,365,31,19,90,56,195
Chd2,285,344,280,339,161,338,292,103,537,508,1525
Chd3,612,794,624,404,219,556,168,281,1404,1463,1032
Chd3os,51,124,82,3,17,41,11,1,18,7,122
Chd4,1999,2292,2067,797,1008,2758,997,394,1399,1118,3815
Chd5,4,2,8,1,0,9,0,6,11,0,13
Chd6,345,559,330,191,136,401,146,68,279,258,928
Chd7,114,119,248,335,119,28,43,150,594,313,2782
Chd8,480,580,517,256,293,664,219,169,481,336,1386
Chd9,136,210,181,78,76,158,19,36,67,62,338
Chdh,2,90,145,0,2,13,0,0,2,0,24
Chek1,59,146,150,1,6,215,33,2,1,3,18
Chek2,188,286,211,21,34,486,368,9,28,12,193
Cherp,244,546,533,110,225,716,228,88,236,170,564
Chfr,75,140,182,53,118,213,113,41,92,79,907
Chga,0,3,0,0,0,3,0,0,0,0,3
Chgb,0,0,0,0,0,0,0,0,0,0,0
Chia1,0,0,0,0,0,0,0,0,1,2,3
Chic1,23,5,1,9,4,2,3,1,11,16,13
Chic2,129,359,333,84,186,378,152,76,187,140,994
Chid1,58,205,286,27,82,287,92,15,47,34,299
Chil1,50,39,10,4,0,64,2,0,0,0,2127
Chil3,214,151,49,0,1103,204,42,4,0,5,2426
Chil4,0,0,0,0,3,0,0,0,0,0,10
Chil5,29,0,1,0,0,5,0,0,25,10,491
Chil6,0,0,0,0,0,0,0,1,0,0,0
Chit1,0,0,2,0,0,0,0,5,0,0,14
Chka,53,163,188,27,19,132,19,19,27,21,526
Chkb,87,69,57,64,63,52,63,31,56,60,252
ChkbCpt1b,0,0,0,0,0,0,0,0,0,0,0
Chl1,0,0,0,0,0,0,0,0,1,1,4
Chm,29,96,68,45,73,77,1,15,112,70,501
Chml,3,65,61,13,40,36,5,2,5,6,46
Chmp1a,197,342,353,116,292,545,223,153,279,200,1167
Chmp1b,72,190,148,32,131,190,132,59,108,90,783
Chmp2a,453,649,670,169,567,823,582,176,354,294,1836
Chmp2b,163,219,239,35,169,180,8,35,65,48,617
Chmp3,158,362,400,73,315,427,428,87,160,149,1406
Chmp4b,637,1011,1123,283,949,1211,567,220,572,426,2951
Chmp4c,0,0,1,0,0,0,0,0,2,1,1
Chmp5,79,189,157,53,161,162,144,41,92,72,957
Chmp6,108,275,270,50,143,311,29,49,74,64,490
Chmp7,199,263,263,73,108,334,54,42,128,75,498
Chn1,0,1,0,0,0,1,0,0,0,0,0
Chn1os3,0,0,0,0,0,0,0,0,0,2,0
Chn2,3,140,111,2,32,8,3,71,21,55,427
Chodl,0,0,0,0,0,0,0,0,0,0,0
Chordc1,76,192,225,49,53,236,24,21,90,68,358
Chp1,204,419,384,99,330,445,330,97,219,140,1531
Chp2,0,2,0,0,0,0,0,0,0,0,24
Chpf,23,8,23,18,0,54,3,36,92,64,107
Chpf2,201,241,270,64,173,282,48,36,145,107,651
Chpt1,7,60,95,1,40,58,4,10,17,14,83
Chrac1,162,334,300,77,162,405,75,38,136,136,612
Chrd,0,0,0,0,0,0,0,0,0,0,0
Chrdl1,0,0,0,0,0,0,0,0,0,0,0
Chrdl2,0,0,0,0,0,0,0,0,0,0,0
Chrm1,18,3,4,1,9,4,0,1,2,1,31
Chrm2,0,0,0,0,0,0,0,0,0,0,0
Chrm3,0,0,0,0,0,0,0,0,0,0,40
Chrm4,8,3,8,2,2,2,9,1,2,2,4
Chrm5,0,0,0,0,0,0,0,0,0,0,0
Chrna1,0,2,2,0,0,4,1,0,0,0,9
Chrna10,0,0,0,0,0,0,0,0,1,2,0
Chrna2,1,1,0,0,2,0,0,0,0,0,2
Chrna3,0,1,0,0,0,0,0,0,0,0,0
Chrna4,0,0,0,0,0,0,0,0,0,0,0
Chrna5,0,0,0,0,0,0,0,0,0,0,0
Chrna6,0,0,0,0,0,0,0,0,0,0,0
Chrna7,0,0,0,0,0,0,0,0,0,0,0
Chrna9,0,0,0,0,0,0,0,0,0,0,1
Chrnb1,58,5,16,12,1,2,2,5,13,9,61
Chrnb2,9,3,6,6,1,17,1,1,14,10,7
Chrnb3,0,0,0,0,0,0,0,0,0,0,0
Chrnb4,1,0,0,1,0,0,0,0,2,5,3
Chrnd,0,0,0,0,0,0,0,0,0,0,0
Chrne,0,3,0,0,0,4,0,37,4,9,10
Chrng,0,0,0,0,0,0,0,0,0,0,0
Chst1,30,4,4,1,24,18,1,0,0,0,88
Chst10,20,11,0,44,1,164,146,4,99,70,133
Chst11,37,138,110,7,3,164,58,31,29,3,406
Chst12,261,394,418,48,228,207,15,67,63,51,1345
Chst13,6,11,58,0,3,2,0,0,0,0,184
Chst14,41,97,117,2,34,67,1,12,18,7,70
Chst15,34,45,26,60,4,91,6,3,31,12,489
Chst2,55,15,13,0,7,20,20,3,33,39,142
Chst3,24,3,0,343,2,3,24,4,7,5,126
Chst4,0,0,0,0,0,0,0,0,0,0,0
Chst5,0,0,0,0,0,0,0,0,0,0,0
Chst7,19,1,1,0,0,1,0,0,0,0,107
Chst8,0,0,0,0,0,0,0,0,0,0,3
Chst9,0,0,0,0,0,0,0,0,0,0,0
Chsy1,73,379,402,86,137,182,51,264,184,38,974
Chsy3,0,3,0,0,0,0,0,0,0,0,2
Chtf18,165,181,146,6,9,296,143,10,19,5,89
Chtf8,198,589,590,114,168,675,156,100,264,211,808
Chtop,460,801,692,188,291,1003,387,131,421,355,909
Chuk,71,171,180,97,137,320,61,51,113,84,454
Churc1,69,147,170,35,47,286,83,18,100,64,225
Ciao1,193,338,332,88,143,509,155,52,151,126,580
Ciapin1,64,406,467,39,98,541,263,53,131,95,478
Ciart,5,11,7,1,8,1,1,1,3,3,17
Cib1,342,372,409,361,445,492,334,99,311,222,1362
Cib2,39,27,28,4,88,26,2,1,7,6,643
Cib3,0,2,1,0,20,2,5,3,0,3,34
Cib4,0,0,0,0,0,0,0,0,0,0,0
Cic,626,615,566,236,496,617,374,162,431,387,1206
Cidea,0,0,1,0,0,0,0,0,0,0,1
Cideb,0,0,0,0,0,0,0,0,0,0,0
Cidec,0,0,0,0,0,0,0,0,0,0,0
Ciita,63,16,3,449,198,14,57,1,3,18,971
Cilp,3,0,0,0,0,0,0,0,0,0,0
Cilp2,0,4,0,0,0,0,0,0,0,0,11
Cinp,126,240,278,30,45,484,56,10,66,50,177
Cipc,77,272,257,85,59,349,53,61,130,67,288
Cir1,324,496,407,117,254,965,638,100,224,218,1098
